,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002063.SZ,20241025,5.67,5.81,5.66,5.8,5.65,0.15,2.6549,569970.81,327633.497
1,002063.SZ,20241024,5.68,5.7,5.58,5.65,5.71,-0.06,-1.0508,378919.85,213496.917
2,002063.SZ,20241023,5.65,5.82,5.62,5.71,5.65,0.06,1.0619,673598.43,386658.139
3,002063.SZ,20241022,5.71,5.73,5.55,5.65,5.71,-0.06,-1.0508,585425.17,329449.971
4,002063.SZ,20241021,5.71,5.77,5.62,5.71,5.66,0.05,0.8834,699344.82,398568.22
5,002063.SZ,20241018,5.54,5.77,5.48,5.66,5.55,0.11,1.982,707516.55,400048.185
6,002063.SZ,20241017,5.65,5.73,5.53,5.55,5.58,-0.03,-0.5376,500865.31,283294.116
7,002063.SZ,20241016,5.45,5.67,5.45,5.58,5.56,0.02,0.3597,413343.53,230102.434
8,002063.SZ,20241015,5.65,5.81,5.55,5.56,5.67,-0.11,-1.94,541686.71,307967.314
9,002063.SZ,20241014,5.57,5.69,5.4,5.67,5.56,0.11,1.9784,509498.47,283015.492
10,002063.SZ,20241011,5.79,5.82,5.47,5.56,5.82,-0.26,-4.4674,486576.24,273337.714
11,002063.SZ,20241010,5.95,6.12,5.78,5.82,5.93,-0.11,-1.855,658188.12,391273.256
12,002063.SZ,20241009,6.27,6.35,5.92,5.93,6.39,-0.46,-7.1987,868281.02,533506.491
13,002063.SZ,20241008,6.4,6.4,6.0,6.39,5.82,0.57,9.7938,1149416.46,721993.586
14,002063.SZ,20240930,5.6,5.85,5.53,5.82,5.33,0.49,9.1932,883190.75,503723.232
15,002063.SZ,20240927,5.08,5.37,5.08,5.33,5.02,0.31,6.1753,475328.15,248629.806
16,002063.SZ,20240926,4.86,5.02,4.85,5.02,4.89,0.13,2.6585,298447.05,147274.703
17,002063.SZ,20240925,4.89,5.01,4.87,4.89,4.84,0.05,1.0331,296229.25,146426.994
18,002063.SZ,20240924,4.77,4.86,4.72,4.84,4.77,0.07,1.4675,289005.06,138780.228
19,002063.SZ,20240923,4.71,4.78,4.7,4.77,4.72,0.05,1.0593,196134.54,93057.28
20,002063.SZ,20240920,4.65,4.73,4.62,4.72,4.63,0.09,1.9438,264457.51,123861.15
21,002063.SZ,20240919,4.55,4.65,4.53,4.63,4.54,0.09,1.9824,210895.87,97068.521
22,002063.SZ,20240918,4.51,4.56,4.46,4.54,4.51,0.03,0.6652,134893.32,60785.986
23,002063.SZ,20240913,4.56,4.59,4.51,4.51,4.58,-0.07,-1.5284,125435.48,56884.615
24,002063.SZ,20240912,4.52,4.64,4.52,4.58,4.51,0.07,1.5521,188190.62,86187.17
25,002063.SZ,20240911,4.53,4.54,4.46,4.51,4.55,-0.04,-0.8791,120708.98,54338.949
26,002063.SZ,20240910,4.51,4.57,4.4,4.55,4.5,0.05,1.1111,159524.31,71446.033
27,002063.SZ,20240909,4.5,4.55,4.45,4.5,4.53,-0.03,-0.6623,111500.47,50063.755
28,002063.SZ,20240906,4.59,4.61,4.52,4.53,4.58,-0.05,-1.0917,114700.55,52180.596
